<s>	sil #1
筋	CH_dzi CH_i CH_n# #7
襟	CH_dzi CH_i CH_n# #8
僅	CH_dzi CH_i CH_n# #9
緊	CH_dzi CH_i CH_n# #10
儘	CH_dzi CH_i CH_n# #11
錦	CH_dzi CH_i CH_n# #12
謹	CH_dzi CH_i CH_n# #13
近	CH_dzi CH_i CH_n# #14
勁	CH_dzi CH_i CH_n# #15
晉	CH_dzi CH_i CH_n# #16
浸	CH_dzi CH_i CH_n# #17
進	CH_dzi CH_i CH_n# #18
禁	CH_dzi CH_i CH_n# #19
盡	CH_dzi CH_i CH_n# #20
覲	CH_dzi CH_i CH_n# #21
靳	CH_dzi CH_i CH_n# #22
江	CH_dzi CH_i CH_a CH_N# #1
姜	CH_dzi CH_i CH_a CH_N# #2
將	CH_dzi CH_i CH_a CH_N# #3
僵	CH_dzi CH_i CH_a CH_N# #4
漿	CH_dzi CH_i CH_a CH_N# #5
疆	CH_dzi CH_i CH_a CH_N# #6
獎	CH_dzi CH_i CH_a CH_N# #7
蔣	CH_dzi CH_i CH_a CH_N# #8
講	CH_dzi CH_i CH_a CH_N# #9
匠	CH_dzi CH_i CH_a CH_N# #10
降	CH_si CH_i CH_a CH_N# #1
降	CH_dzi CH_i CH_a CH_N# #11
醬	CH_dzi CH_i CH_a CH_N# #12
京	CH_dzi CH_i CH_N# #3
京	CH_# CH_y CH_E CH_n# #1
荊	CH_dzi CH_i CH_N# #4
莖	CH_dzi CH_i CH_N# #5
晶	CH_dzi CH_i CH_N# #6
菁	CH_dzi CH_i CH_N# #7
睛	CH_dzi CH_i CH_N# #8
經	CH_dzi CH_i CH_N# #9
精	CH_dzi CH_i CH_N# #10
驚	CH_dzi CH_i CH_N# #11
井	CH_dzi CH_i CH_N# #12
阱	CH_dzi CH_i CH_N# #13
景	CH_# CH_i CH_N# #1
景	CH_dzi CH_i CH_N# #14
憬	CH_dzi CH_i CH_N# #15
頸	CH_g CH_@ CH_N# #10
頸	CH_dzi CH_i CH_N# #16
警	CH_dzi CH_i CH_N# #17
徑	CH_dzi CH_i CH_N# #18
淨	CH_dzi CH_i CH_N# #19
竟	CH_dzi CH_i CH_N# #20
逕	CH_dzi CH_i CH_N# #21
痙	CH_dzi CH_i CH_N# #22
敬	CH_dzi CH_i CH_N# #23
境	CH_dzi CH_i CH_N# #24
靖	CH_dzi CH_i CH_N# #25
靜	CH_dzi CH_i CH_N# #26
鏡	CH_dzi CH_i CH_N# #27
競	CH_dzi CH_i CH_N# #28
脛	CH_dzi CH_i CH_N# #29
及	CH_dzi CH_i #21
吉	CH_dzi CH_i #22
即	CH_dzi CH_i #23
汲	CH_dzi CH_i #24
急	CH_dzi CH_i #25
亟	CH_dzi CH_i #26
亟	CH_tsi CH_i #3
級	CH_dzi CH_i #27
疾	CH_dzi CH_i #28
寂	CH_dzi CH_i #29
棘	CH_dzi CH_i #30
集	CH_dzi CH_i #31
極	CH_dzi CH_i #32
輯	CH_dzi CH_i #33
擊	CH_dzi CH_i #34
籍	CH_dzi CH_i #35
笈	CH_dzi CH_i #36
己	CH_dzi CH_i #37
脊	CH_dzi CH_i #38
幾	CH_dzi CH_i #39
擠	CH_dzi CH_i #40
妓	CH_dzi CH_i #41
忌	CH_dzi CH_i #42
技	CH_dzi CH_i #43
季	CH_dzi CH_i #44
紀	CH_dzi CH_i #45
既	CH_dzi CH_i #46
計	CH_dzi CH_i #47
記	CH_dzi CH_i #48
悸	CH_dzi CH_i #49
寄	CH_dzi CH_i #50
祭	CH_dzi CH_i #51
暨	CH_dzi CH_i #52
際	CH_dzi CH_i #53
冀	CH_dzi CH_i #54
劑	CH_dzi CH_i #55
濟	CH_dzi CH_i #56
覬	CH_dzi CH_i #57
繼	CH_dzi CH_i #58
驥	CH_dzi CH_i #59
伎	CH_dzi CH_i #60
拘	CH_dzi CH_y #2
居	CH_dzi CH_i #61
沮	CH_dzi CH_y #3
据	CH_dzi CH_y #4
抉	CH_dzi CH_y CH_E #5
決	CH_dzi CH_y CH_E #6
掘	CH_dzi CH_y CH_E #7
崛	CH_dzi CH_y CH_E #8
厥	CH_dzi CH_y CH_E #9
訣	CH_dzi CH_y CH_E #10
絕	CH_dzi CH_y CH_E #11
獗	CH_dzi CH_y CH_E #12
噱	CH_si CH_y CH_E #1
噱	CH_dzi CH_y CH_E #13
爵	CH_dzi CH_y CH_E #14
蹶	CH_dzi CH_y CH_E #15
嚼	CH_dzi CH_i CH_a CH_u #24
炔	CH_tsi CH_y CH_E #1
炔	CH_g CH_u CH_e CH_i #21
堀	CH_k CH_u #8
捐	CH_dzi CH_y CH_E CH_n# #1
捲	CH_dzi CH_y CH_E CH_n# #2
卷	CH_tsi CH_y CH_E CH_n# #1
卷	CH_dzi CH_y CH_E CH_n# #3
眷	CH_dzi CH_y CH_E CH_n# #4
雋	CH_dzi CH_y CH_E CH_n# #5
均	CH_dzi CH_y CH_n# #1
均	CH_# CH_y CH_n# #1
君	CH_dzi CH_y CH_n# #2
軍	CH_dzi CH_y CH_n# #3
鈞	CH_dzi CH_y CH_n# #4
俊	CH_dzi CH_y CH_n# #5
峻	CH_dzi CH_y CH_n# #6
浚	CH_dzi CH_y CH_n# #7
竣	CH_dzi CH_y CH_n# #8
菌	CH_dzi CH_y CH_n# #9
濬	CH_dzi CH_y CH_n# #10
駿	CH_dzi CH_y CH_n# #11
迥	CH_dzi CH_y CH_o CH_N#
窘	CH_dzi CH_y CH_n# #12
局	CH_dzi CH_y #5
侷	CH_dzi CH_y #6
菊	CH_dzi CH_y #7
鞠	CH_dzi CH_y #8
矩	CH_dzi CH_y #9
舉	CH_dzi CH_y #10
巨	CH_dzi CH_y #11
句	CH_g CH_o CH_u #10
具	CH_dzi CH_y #12
拒	CH_dzi CH_y #13
俱	CH_dzi CH_y #14
距	CH_dzi CH_y #15
鉅	CH_dzi CH_y #16
聚	CH_dzi CH_y #17
詎	CH_dzi CH_y #18
劇	CH_dzi CH_i #62
劇	CH_dzi CH_y #19
踞	CH_dzi CH_y #20
據	CH_dzi CH_y #21
遽	CH_dzi CH_y #22
懼	CH_dzi CH_y #23
埧	CH_dzi CH_y #24
七	CH_tsi CH_i #4
妻	CH_tsi CH_i #5
戚	CH_tsi CH_i #6
戚	CH_ts CH_u #1
悽	CH_tsi CH_i #7
棲	CH_tsi CH_i #8
欺	CH_tsi CH_i #9
漆	CH_tsi CH_i #10
漆	CH_tsi CH_y #1
恰	CH_tsi CH_i CH_a #2
洽	CH_si CH_i CH_a #1
洽	CH_tsi CH_i CH_a #3
愜	CH_tsi CH_i CH_E #1
切	CH_tsi CH_i CH_E #2
且	CH_dzi CH_y #25
且	CH_tsi CH_i CH_E #3
怯	CH_tsi CH_i CH_E #4
妾	CH_tsi CH_i CH_E #5
鍥	CH_tsi CH_i CH_E #6
竊	CH_tsi CH_i CH_E #7
敲	CH_tsi CH_i CH_a CH_u #3
蹺	CH_tsi CH_i CH_a CH_u #4
喬	CH_dzi CH_i CH_a CH_u #25
喬	CH_tsi CH_i CH_a CH_u #5
僑	CH_tsi CH_i CH_a CH_u #6
橋	CH_tsi CH_i CH_a CH_u #7
瞧	CH_tsi CH_i CH_a CH_u #8
翹	CH_tsi CH_i CH_a CH_u #9
巧	CH_tsi CH_i CH_a CH_u #10
悄	CH_tsi CH_i CH_a CH_u #11
雀	CH_tsi CH_i CH_a CH_u #12
雀	CH_tsi CH_y CH_E #2
俏	CH_tsi CH_i CH_a CH_u #13
峭	CH_tsi CH_i CH_a CH_u #14
撬	CH_tsi CH_i CH_a CH_u #15
竅	CH_tsi CH_i CH_a CH_u #16
丘	CH_tsi CH_i CH_o CH_u #1
邱	CH_tsi CH_i CH_o CH_u #2
秋	CH_tsi CH_i CH_o CH_u #3
囚	CH_tsi CH_i CH_o CH_u #4
求	CH_tsi CH_i CH_o CH_u #5
球	CH_tsi CH_i CH_o CH_u #6
裘	CH_tsi CH_i CH_o CH_u #7
糗	CH_tsi CH_i CH_o CH_u #8
千	CH_tsi CH_i CH_E CH_n# #2
仟	CH_tsi CH_i CH_E CH_n# #3
牽	CH_tsi CH_i CH_E CH_n# #4
鉛	CH_tsi CH_i CH_E CH_n# #5
鉛	CH_# CH_i CH_E CH_n# #1
遷	CH_tsi CH_i CH_E CH_n# #6
謙	CH_tsi CH_i CH_E CH_n# #7
鶱	CH_tsi CH_i CH_E CH_n# #8
簽	CH_tsi CH_i CH_E CH_n# #9
籤	CH_tsi CH_i CH_E CH_n# #10
拑	CH_tsi CH_i CH_E CH_n# #11
前	CH_tsi CH_i CH_E CH_n# #12
潛	CH_tsi CH_i CH_E CH_n# #13
錢	CH_tsi CH_i CH_E CH_n# #14
錢	CH_dzi CH_i CH_E CH_n# #38
淺	CH_dzi CH_i CH_E CH_n# #39
淺	CH_tsi CH_i CH_E CH_n# #15
遣	CH_tsi CH_i CH_E CH_n# #16
譴	CH_tsi CH_i CH_E CH_n# #17
欠	CH_tsi CH_i CH_E CH_n# #18
歉	CH_tsi CH_i CH_E CH_n# #19
侵	CH_tsi CH_i CH_n# #2
欽	CH_tsi CH_i CH_n# #3
親	CH_tsi CH_i CH_n# #4
親	CH_tsi CH_i CH_N# #1
秦	CH_tsi CH_i CH_n# #5
琴	CH_tsi CH_i CH_n# #6
勤	CH_tsi CH_i CH_n# #7
禽	CH_tsi CH_i CH_n# #8
擒	CH_tsi CH_i CH_n# #9
寢	CH_tsi CH_i CH_n# #10
羌	CH_tsi CH_i CH_a CH_N# #1
腔	CH_tsi CH_i CH_a CH_N# #2
槍	CH_tsc CH_@ CH_N# #1
槍	CH_tsi CH_i CH_a CH_N# #3
戕	CH_tsi CH_i CH_a CH_N# #4
襁	CH_tsi CH_i CH_a CH_N# #5
強	CH_tsi CH_i CH_a CH_N# #6
強	CH_dzi CH_i CH_a CH_N# #13
牆	CH_tsi CH_i CH_a CH_N# #7
搶	CH_tsi CH_i CH_a CH_N# #8
青	CH_dzi CH_i CH_N# #30
卿	CH_tsi CH_i CH_N# #2
氫	CH_tsi CH_i CH_N# #3
清	CH_tsi CH_i CH_N# #4
傾	CH_k CH_@ CH_N# #4
傾	CH_tsi CH_i CH_N# #5
輕	CH_tsi CH_i CH_N# #6
鯖	CH_dzc CH_@ CH_N# #2
鯖	CH_tsi CH_i CH_N# #7
情	CH_tsi CH_i CH_N# #8
晴	CH_tsi CH_i CH_N# #9
擎	CH_tsi CH_i CH_N# #10
頃	CH_tsi CH_i CH_N# #11
請	CH_tsi CH_i CH_N# #12
慶	CH_tsi CH_i CH_N# #13
磬	CH_tsi CH_i CH_N# #14
罄	CH_tsi CH_i CH_N# #15
岐	CH_tsi CH_i #11
其	CH_dzi CH_i #63
其	CH_tsi CH_i #12
其	CH_dzi CH_i #64
奇	CH_dzi CH_i #65
奇	CH_tsi CH_i #13
祁	CH_tsi CH_i #14
歧	CH_tsi CH_i #15
祈	CH_tsi CH_i #16
祇	CH_dzc CH_Uc #2
祇	CH_tsi CH_i #17
耆	CH_tsi CH_i #18
崎	CH_tsi CH_i #19
淇	CH_tsi CH_i #20
期	CH_dzi CH_i #66
期	CH_tsi CH_i #21
棋	CH_dzi CH_i #67
棋	CH_tsi CH_i #22
琪	CH_tsi CH_i #23
琦	CH_tsi CH_i #24
祺	CH_tsi CH_i #25
旗	CH_tsi CH_i #26
齊	CH_dz CH_U #2
齊	CH_dzc CH_a CH_i #1
齊	CH_tsi CH_i #27
齊	CH_dzi CH_i #68
錡	CH_tsi CH_i #28
騎	CH_tsi CH_i #29
騎	CH_dzi CH_i #69
碁	CH_tsi CH_i #30
乞	CH_tsi CH_i #31
豈	CH_k CH_a CH_i #5
起	CH_tsi CH_i #32
啟	CH_tsi CH_i #33
綺	CH_tsi CH_i #34
企	CH_tsi CH_i #35
迄	CH_tsi CH_i #36
汽	CH_tsi CH_i #37
泣	CH_tsi CH_i #38
契	CH_tsi CH_i #39
契	CH_tsi CH_i CH_E #8
砌	CH_tsi CH_i #40
砌	CH_tsi CH_i CH_E #9
氣	CH_tsi CH_i #41
棄	CH_tsi CH_i #42
緝	CH_tsi CH_i #43
器	CH_tsi CH_i #44
憩	CH_tsi CH_i #45
曲	CH_tsi CH_y #2
屈	CH_tsi CH_y #3
區	CH_# CH_o CH_u #1
區	CH_g CH_o CH_u #11
蛆	CH_dzi CH_y #26
趨	CH_tsi CH_y #4
趨	CH_ts CH_u #2
軀	CH_tsi CH_y #5
驅	CH_tsi CH_y #6
袪	CH_tsi CH_y #7
缺	CH_tsi CH_y CH_E #3
卻	CH_tsi CH_y CH_E #4
榷	CH_tsi CH_y CH_E #5
確	CH_tsi CH_y CH_E #6
闕	CH_tsi CH_y CH_E #7
圈	CH_dzi CH_y CH_E CH_n# #6
全	CH_tsi CH_y CH_E CH_n# #2
泉	CH_tsi CH_y CH_E CH_n# #3
拳	CH_tsi CH_y CH_E CH_n# #4
痊	CH_tsi CH_y CH_E CH_n# #5
詮	CH_tsi CH_y CH_E CH_n# #6
銓	CH_tsi CH_y CH_E CH_n# #7
權	CH_tsi CH_y CH_E CH_n# #8
犬	CH_tsi CH_y CH_E CH_n# #9
券	CH_tsi CH_y CH_E CH_n# #10
勸	CH_tsi CH_y CH_E CH_n# #11
裙	CH_tsi CH_y CH_n# #1
群	CH_tsi CH_y CH_n# #2
穹	CH_tsi CH_y CH_o CH_N# #1
芎	CH_tsi CH_y CH_o CH_N# #2
窮	CH_tsi CH_y CH_o CH_N# #3
瓊	CH_tsi CH_y CH_o CH_N# #4
渠	CH_tsi CH_y #8
麴	CH_tsi CH_y #9
取	CH_tsi CH_y #10
娶	CH_tsi CH_y #11
去	CH_tsi CH_y #12
趣	CH_tsi CH_y #13
西	CH_si CH_i #2
希	CH_si CH_i #3
唏	CH_si CH_i #4
巇	CH_si CH_i #5
吸	CH_si CH_i #6
析	CH_si CH_i #7
奚	CH_si CH_i #8
悉	CH_si CH_i #9
烯	CH_si CH_i #10
晰	CH_si CH_i #11
稀	CH_si CH_i #12
溪	CH_tsi CH_i #46
熙	CH_si CH_i #13
熙	CH_# CH_i #2
嬉	CH_si CH_i #14
膝	CH_si CH_i #15
蹊	CH_si CH_i #16
禧	CH_si CH_i #17
攜	CH_si CH_i #18
攜	CH_si CH_i CH_E #2
犧	CH_si CH_i #19
蝦	CH_si CH_i CH_a #2
蝦	CH_h CH_a #2
瞎	CH_si CH_i CH_a #3
匣	CH_si CH_i CH_a #4
俠	CH_dzi CH_i CH_a #17
峽	CH_si CH_i CH_a #5
狹	CH_si CH_i CH_a #6
瑕	CH_si CH_i CH_a #7
暇	CH_si CH_i CH_a #8
遐	CH_si CH_i CH_a #9
陜	CH_sc CH_a CH_n# #2
轄	CH_si CH_i CH_a #10
霞	CH_si CH_i CH_a #11
下	CH_si CH_i CH_a #12
夏	CH_dzi CH_i CH_a #18
夏	CH_si CH_i CH_a #13
廈	CH_sc CH_a #1
廈	CH_si CH_i CH_a #14
嚇	CH_h CH_@ #24
嚇	CH_si CH_i CH_a #15
些	CH_si CH_i CH_E #3
些	CH_s CH_u CH_o #1
歇	CH_si CH_i CH_E #4
邪	CH_# CH_y #2
邪	CH_si CH_y #1
邪	CH_si CH_i CH_a #16
協	CH_si CH_i CH_E #5
挾	CH_dzi CH_i CH_a #19
脅	CH_si CH_i CH_E #6
偕	CH_dzi CH_i CH_E #32
偕	CH_si CH_i CH_E #7
斜	CH_# CH_i CH_E #1
斜	CH_si CH_i CH_a #17
鞋	CH_si CH_i CH_E #8
諧	CH_si CH_i CH_E #9
絜	CH_dzi CH_i CH_E #33
血	CH_si CH_i CH_E #10
血	CH_si CH_y CH_E #2
寫	CH_si CH_i CH_E #11
卸	CH_si CH_i CH_E #12
洩	CH_# CH_i #3
洩	CH_si CH_i CH_E #13
屑	CH_si CH_i CH_E #14
械	CH_dzi CH_i CH_E #34
屜	CH_t CH_i #14
懈	CH_si CH_i CH_E #15
駭	CH_h CH_a CH_i #5
褻	CH_si CH_i CH_E #16
謝	CH_si CH_i CH_E #17
蟹	CH_si CH_i CH_E #18
哮	CH_si CH_i CH_a CH_u #1
消	CH_si CH_i CH_a CH_u #2
宵	CH_si CH_i CH_a CH_u #3
梟	CH_si CH_i CH_a CH_u #4
逍	CH_si CH_i CH_a CH_u #5
銷	CH_si CH_i CH_a CH_u #6
蕭	CH_si CH_i CH_a CH_u #7
瀟	CH_si CH_i CH_a CH_u #8
囂	CH_si CH_i CH_a CH_u #9
小	CH_si CH_i CH_a CH_u #10
曉	CH_si CH_i CH_a CH_u #11
筱	CH_si CH_i CH_a CH_u #12
孝	CH_si CH_i CH_a CH_u #13
肖	CH_si CH_i CH_a CH_u #14
效	CH_si CH_i CH_a CH_u #15
校	CH_dzi CH_i CH_a CH_u #26
笑	CH_si CH_i CH_a CH_u #16
酵	CH_dzi CH_i CH_a CH_u #27
嘯	CH_si CH_i CH_a CH_u #17
休	CH_si CH_i CH_o CH_u #1
休	CH_si CH_y #2
休	CH_si CH_i CH_o CH_u #2
修	CH_si CH_i CH_o CH_u #3
羞	CH_si CH_i CH_o CH_u #4
秀	CH_si CH_i CH_o CH_u #5
袖	CH_si CH_i CH_o CH_u #6
嗅	CH_si CH_i CH_o CH_u #7
先	CH_si CH_i CH_E CH_n# #1
仙	CH_si CH_i CH_E CH_n# #2
掀	CH_si CH_i CH_E CH_n# #3
鮮	CH_si CH_i CH_E CH_n# #4
纖	CH_si CH_i CH_E CH_n# #5
弦	CH_si CH_i CH_E CH_n# #6
咸	CH_si CH_i CH_E CH_n# #7
絃	CH_si CH_i CH_E CH_n# #8
閒	CH_dzi CH_i CH_E CH_n# #40
閒	CH_si CH_i CH_E CH_n# #9
閒	CH_dzi CH_i CH_E CH_n# #41
嫌	CH_si CH_i CH_E CH_n# #10
閑	CH_si CH_i CH_E CH_n# #11
銜	CH_si CH_i CH_E CH_n# #12
嫻	CH_si CH_i CH_E CH_n# #13
賢	CH_si CH_i CH_E CH_n# #14
癇	CH_si CH_i CH_E CH_n# #15
險	CH_si CH_i CH_E CH_n# #16
顯	CH_si CH_i CH_E CH_n# #17
限	CH_si CH_i CH_E CH_n# #18
現	CH_si CH_i CH_E CH_n# #19
陷	CH_si CH_i CH_E CH_n# #20
線	CH_si CH_i CH_E CH_n# #21
憲	CH_si CH_i CH_E CH_n# #22
縣	CH_si CH_y CH_E CH_n# #2
縣	CH_si CH_i CH_E CH_n# #23
霰	CH_si CH_i CH_E CH_n# #24
獻	CH_si CH_i CH_E CH_n# #25
心	CH_si CH_i CH_n# #1
辛	CH_si CH_i CH_n# #2
欣	CH_si CH_i CH_n# #3
新	CH_si CH_i CH_n# #4
薪	CH_si CH_i CH_n# #5
馨	CH_si CH_i CH_n# #6
鑫	CH_si CH_i CH_n# #7
信	CH_sc CH_@ CH_n# #1
信	CH_si CH_i CH_n# #8
囟	CH_si CH_i CH_n# #9
相	CH_si CH_i CH_a CH_N# #2
香	CH_si CH_i CH_a CH_N# #3
湘	CH_si CH_i CH_a CH_N# #4
廂	CH_si CH_i CH_a CH_N# #5
鄉	CH_si CH_i CH_a CH_N# #6
箱	CH_si CH_i CH_a CH_N# #7
襄	CH_si CH_i CH_a CH_N# #8
鑲	CH_si CH_i CH_a CH_N# #9
鑲	CH_Zc CH_a CH_N# #1
驤	CH_si CH_i CH_a CH_N# #10
祥	CH_si CH_i CH_a CH_N# #11
翔	CH_si CH_i CH_a CH_N# #12
詳	CH_si CH_i CH_a CH_N# #13
享	CH_si CH_i CH_a CH_N# #14
想	CH_si CH_i CH_a CH_N# #15
餉	CH_si CH_i CH_a CH_N# #16
響	CH_si CH_i CH_a CH_N# #17
饗	CH_si CH_i CH_a CH_N# #18
向	CH_si CH_i CH_a CH_N# #19
巷	CH_si CH_i CH_a CH_N# #20
項	CH_si CH_i CH_a CH_N# #21
象	CH_si CH_i CH_a CH_N# #22
像	CH_si CH_i CH_a CH_N# #23
橡	CH_si CH_i CH_a CH_N# #24
嚮	CH_si CH_i CH_a CH_N# #25
星	CH_si CH_i CH_N# #1
惺	CH_si CH_i CH_N# #2
腥	CH_si CH_i CH_N# #3
興	CH_si CH_i CH_N# #4
行	CH_h CH_a CH_N# #3
行	CH_si CH_i CH_N# #5
行	CH_h CH_a CH_N# #4
行	CH_si CH_i CH_N# #6
刑	CH_si CH_i CH_N# #7
形	CH_si CH_i CH_N# #8
型	CH_si CH_i CH_N# #9
醒	CH_si CH_i CH_N# #10
杏	CH_si CH_i CH_N# #11
幸	CH_si CH_i CH_N# #12
性	CH_si CH_i CH_N# #13
姓	CH_si CH_i CH_N# #14
倖	CH_si CH_i CH_N# #15
悻	CH_si CH_i CH_N# #16
昔	CH_si CH_i #20
昔	CH_ts CH_u CH_o #1
息	CH_si CH_i #21
席	CH_si CH_i #22
惜	CH_si CH_i #23
習	CH_si CH_i #24
媳	CH_si CH_i #25
熄	CH_si CH_i #26
蓆	CH_si CH_i #27
錫	CH_si CH_i #28
襲	CH_si CH_i #29
洗	CH_si CH_i #30
洗	CH_si CH_i CH_E CH_n# #26
喜	CH_si CH_i #31
璽	CH_si CH_i #32
夕	CH_si CH_i #33
汐	CH_si CH_i #34
系	CH_si CH_i #35
矽	CH_si CH_i #36
係	CH_si CH_i #37
細	CH_si CH_i #38
隙	CH_si CH_i #39
戲	CH_h CH_u #23
戲	CH_h CH_u CH_e CH_i #24
戲	CH_si CH_i #40
繫	CH_dzi CH_i #70
虛	CH_si CH_y #3
須	CH_si CH_y #4
需	CH_si CH_y #5
需	CH_Zc CH_u #1
噓	CH_si CH_y #6
墟	CH_si CH_y #7
盱	CH_si CH_y #8
薛	CH_si CH_y CH_E #3
學	CH_si CH_y CH_E #4
雪	CH_si CH_y CH_E #5
穴	CH_si CH_y CH_E #6
削	CH_si CH_i CH_a CH_u #18
削	CH_si CH_y CH_E #7
宣	CH_si CH_y CH_E CH_n# #3
軒	CH_si CH_y CH_E CH_n# #4
喧	CH_si CH_y CH_E CH_n# #5
暄	CH_si CH_y CH_E CH_n# #6
玄	CH_si CH_y CH_E CH_n# #7
旋	CH_si CH_y CH_E CH_n# #8
璿	CH_si CH_y CH_E CH_n# #9
懸	CH_si CH_y CH_E CH_n# #10
選	CH_si CH_y CH_E CH_n# #11
炫	CH_si CH_y CH_E CH_n# #12
眩	CH_si CH_y CH_E CH_n# #13
渲	CH_si CH_y CH_E CH_n# #14
鉉	CH_si CH_y CH_E CH_n# #15
漩	CH_si CH_y CH_E CH_n# #16
勛	CH_si CH_y CH_n# #1
勳	CH_si CH_y CH_n# #2
薰	CH_si CH_y CH_n# #3
醺	CH_si CH_y CH_n# #4
旬	CH_si CH_y CH_n# #5
巡	CH_si CH_y CH_n# #6
洵	CH_si CH_y CH_n# #7
尋	CH_si CH_i CH_n# #10
循	CH_si CH_y CH_n# #8
詢	CH_si CH_y CH_n# #9
馴	CH_si CH_y CH_n# #10
汛	CH_si CH_y CH_n# #11
迅	CH_si CH_y CH_n# #12
殉	CH_si CH_y CH_n# #13
訊	CH_si CH_y CH_n# #14
訓	CH_si CH_y CH_n# #15
遜	CH_si CH_y CH_n# #16
凶	CH_si CH_y CH_o CH_N# #1
兇	CH_si CH_y CH_o CH_N# #2
兄	CH_si CH_y CH_o CH_N# #3
匈	CH_si CH_y CH_o CH_N# #4
洶	CH_si CH_y CH_o CH_N# #5
胸	CH_si CH_y CH_o CH_N# #6
雄	CH_si CH_y CH_o CH_N# #7
熊	CH_si CH_y CH_o CH_N# #8
徐	CH_si CH_y #9
栩	CH_si CH_y #10
許	CH_h CH_u #24
旭	CH_si CH_y #11
序	CH_si CH_y #12
卹	CH_si CH_y #13
恤	CH_si CH_y #14
敘	CH_si CH_y #15
婿	CH_si CH_y #16
緒	CH_si CH_y #17
蓄	CH_si CH_y #18
續	CH_si CH_y #19
之	CH_dzc CH_Uc #3
胝	CH_dzc CH_Uc #4
支	CH_dzc CH_Uc #5
汁	CH_dzc CH_Uc #6
知	CH_dzc CH_Uc #7
肢	CH_dzc CH_Uc #8
芝	CH_dzc CH_Uc #9
枝	CH_dzc CH_Uc #10
枝	CH_tsi CH_i #47
脂	CH_dzc CH_Uc #11
隻	CH_dzc CH_Uc #12
織	CH_dzc CH_Uc #13
扎	CH_dzc CH_a #2
哳	CH_dzc CH_a #3
札	CH_dzc CH_a #4
紮	CH_dz CH_a #1
紮	CH_dzc CH_a #5
閘	CH_dzc CH_a #6
乍	CH_dzc CH_a #7
炸	CH_dzc CH_a #8
柵	CH_dzc CH_a #9
詐	CH_dzc CH_a #10
遮	CH_dzc CH_@ #1
著	CH_dzc CH_a CH_u #1
著	CH_dzc CH_u CH_o #2
著	CH_dzc CH_u #1
著	CH_dzc CH_@ #2
晢	CH_dzc CH_@ #3
折	CH_dzc CH_@ #4
哲	CH_dzc CH_@ #5
摘	CH_dzc CH_a CH_i #2
摘	CH_t CH_i #15
摺	CH_dzc CH_@ #6
輒	CH_dzc CH_@ #7
懾	CH_dzc CH_@ #8
懾	CH_sc CH_@ #1
者	CH_dzc CH_@ #9
浙	CH_dzc CH_@ #10
這	CH_dzc CH_@ #11
齋	CH_dzc CH_a CH_i #3
宅	CH_dzc CH_a CH_i #4
宅	CH_dzc CH_@ #12
窄	CH_dz CH_@ #1
窄	CH_dzc CH_a CH_i #5
債	CH_dzc CH_a CH_i #6
寨	CH_dzc CH_a CH_i #7
招	CH_dzc CH_a CH_u #2
招	CH_sc CH_a CH_u #1
招	CH_tsi CH_i CH_a CH_u #17
昭	CH_dzc CH_a CH_u #3
釗	CH_dzc CH_a CH_u #4
找	CH_dzc CH_a CH_u #5
沼	CH_dzc CH_a CH_u #6
兆	CH_dzc CH_a CH_u #7
召	CH_dzc CH_a CH_u #8
炤	CH_dzc CH_a CH_u #9
詔	CH_dzc CH_a CH_u #10
照	CH_dzc CH_a CH_u #11
罩	CH_dzc CH_a CH_u #12
趙	CH_dzc CH_a CH_u #13
肇	CH_dzc CH_a CH_u #14
舟	CH_dzc CH_o CH_u #1
州	CH_dzc CH_o CH_u #2
周	CH_dzc CH_o CH_u #3
洲	CH_dzc CH_o CH_u #4
週	CH_dzc CH_o CH_u #5
軸	CH_dzc CH_o CH_u #6
肘	CH_dzc CH_o CH_u #7
咒	CH_dzc CH_o CH_u #8
宙	CH_dzc CH_o CH_u #9
晝	CH_dzc CH_o CH_u #10
皺	CH_dzc CH_o CH_u #11
沾	CH_dzc CH_a CH_n# #2
詹	CH_dzc CH_a CH_n# #3
氈	CH_dzc CH_a CH_n# #4
瞻	CH_dzc CH_a CH_n# #5
展	CH_dzc CH_a CH_n# #6
斬	CH_dzc CH_a CH_n# #7
嶄	CH_tsc CH_a CH_n# #2
嶄	CH_dzc CH_a CH_n# #8
占	CH_dzc CH_a CH_n# #9
佔	CH_dzc CH_a CH_n# #10
站	CH_dzc CH_a CH_n# #11
棧	CH_dzc CH_a CH_n# #12
湛	CH_d CH_a CH_n# #15
湛	CH_dzc CH_a CH_n# #13
綻	CH_dzc CH_a CH_n# #14
暫	CH_dzc CH_a CH_n# #15
戰	CH_dzc CH_a CH_n# #16
顫	CH_dzc CH_a CH_n# #17
珍	CH_dzc CH_@ CH_n# #1
貞	CH_dzc CH_@ CH_n# #2
真	CH_dzc CH_@ CH_n# #3
偵	CH_dzc CH_@ CH_n# #4
針	CH_dzc CH_@ CH_n# #5
楨	CH_dzc CH_@ CH_n# #6
斟	CH_dzc CH_@ CH_n# #7
甄	CH_dzc CH_@ CH_n# #8
禎	CH_dzc CH_@ CH_n# #9
箴	CH_dzc CH_@ CH_n# #10
臻	CH_dzc CH_@ CH_n# #11
枕	CH_dzc CH_@ CH_n# #12
疹	CH_dzc CH_@ CH_n# #13
診	CH_dzc CH_@ CH_n# #14
縝	CH_dzc CH_@ CH_n# #15
